broadcasted_at,fee_price,size,mined_at
5,100,10,
15,100,10,
25,100,10,
35,100,10,
45,100,10,
55,100,10,
65,100,10,
75,100,10,
85,100,10,
95,100,10,
105,100,10,
115,100,10,
125,100,10,
135,100,10,
145,100,10,
155,100,10,
165,100,10,
175,100,10,
185,100,10,
195,100,10,
205,100,10,
215,100,10,
225,100,10,
235,100,10,
245,100,10,
255,100,10,
265,100,10,
275,100,10,
285,100,10,
295,100,10,
305,100,10,
315,100,10,
325,100,10,
335,100,10,
345,100,10,
355,100,10,
365,100,10,
375,100,10,
385,100,10,
395,100,10,
405,100,10,
415,100,10,
425,100,10,
435,100,10,
445,100,10,
455,100,10,
465,100,10,
475,100,10,
485,100,10,
495,100,10,
505,100,10,
515,100,10,
525,100,10,
535,100,10,
545,100,10,
555,100,10,
565,100,10,
575,100,10,
585,100,10,
595,100,10,
605,100,10,
615,100,10,
625,100,10,
635,100,10,
645,100,10,
655,100,10,
665,100,10,
675,100,10,
685,100,10,
695,100,10,
705,100,10,
715,100,10,
725,100,10,
735,100,10,
745,100,10,
755,100,10,
765,100,10,
775,100,10,
785,100,10,
795,100,10,
805,100,10,
815,100,10,
825,100,10,
835,100,10,
845,100,10,
855,100,10,
865,100,10,
875,100,10,
885,100,10,
895,100,10,
905,100,10,
915,100,10,
925,100,10,
935,100,10,
945,100,10,
955,100,10,
965,100,10,
975,100,10,
985,100,10,
995,100,10,
990,100,10,
980,100,10,
970,100,10,
960,100,10,
950,100,10,
940,100,10,
930,100,10,
920,100,10,
910,100,10,
900,100,10,
890,100,10,
880,100,10,
870,100,10,
860,100,10,
850,100,10,
840,100,10,
830,100,10,
820,100,10,
810,100,10,
800,100,10,
790,100,10,
780,100,10,
770,100,10,
760,100,10,
750,100,10,
740,100,10,
730,100,10,
720,100,10,
710,100,10,
700,100,10,
690,100,10,
680,100,10,
670,100,10,
660,100,10,
650,100,10,
640,100,10,
630,100,10,
620,100,10,
610,100,10,
600,100,10,
590,100,10,
580,100,10,
570,100,10,
560,100,10,
550,100,10,
540,100,10,
530,100,10,
520,100,10,
510,100,10,
500,100,10,
490,100,10,
480,100,10,
470,100,10,
460,100,10,
450,100,10,
440,100,10,
430,100,10,
420,100,10,
410,100,10,
400,100,10,
390,100,10,
380,100,10,
370,100,10,
360,100,10,
350,100,10,
340,100,10,
330,100,10,
320,100,10,
310,100,10,
300,100,10,
290,100,10,
280,100,10,
270,100,10,
260,100,10,
250,100,10,
240,100,10,
230,100,10,
220,100,10,
210,100,10,
200,100,10,
190,100,10,
180,100,10,
170,100,10,
160,100,10,
150,100,10,
140,100,10,
130,100,10,
120,100,10,
110,100,10,
100,100,10,
90,100,10,
80,100,10,
70,100,10,
60,100,10,
50,100,10,
40,100,10,
30,100,10,
20,100,10,
10,100,10,
0,100,10,
0,100,10,0
0,100,10,50
10,100,10,50
20,100,10,50
30,100,10,50
40,100,10,50
50,100,10,50
45,100,10,50
35,100,10,50
25,100,10,50
15,100,10,50
0,100,10,100
10,100,10,100
20,100,10,100
30,100,10,100
40,100,10,100
50,100,10,100
60,100,10,100
70,100,10,100
80,100,10,100
90,100,10,100
0,100,10,150
10,100,10,150
20,100,10,150
30,100,10,150
40,100,10,150
50,100,10,150
60,100,10,150
70,100,10,150
80,100,10,150
90,100,10,150
0,100,10,200
10,100,10,200
20,100,10,200
30,100,10,200
40,100,10,200
50,100,10,200
60,100,10,200
70,100,10,200
80,100,10,200
90,100,10,200
0,100,10,250
10,100,10,250
20,100,10,250
30,100,10,250
40,100,10,250
50,100,10,250
60,100,10,250
70,100,10,250
80,100,10,250
90,100,10,250
0,100,10,300
10,100,10,300
20,100,10,300
30,100,10,300
40,100,10,300
50,100,10,300
60,100,10,300
70,100,10,300
80,100,10,300
90,100,10,300
0,100,10,350
10,100,10,350
20,100,10,350
30,100,10,350
40,100,10,350
50,100,10,350
60,100,10,350
70,100,10,350
80,100,10,350
90,100,10,350
0,100,10,400
10,100,10,400
20,100,10,400
30,100,10,400
40,100,10,400
50,100,10,400
60,100,10,400
70,100,10,400
80,100,10,400
90,100,10,400
0,100,10,450
10,100,10,450
20,100,10,450
30,100,10,450
40,100,10,450
50,100,10,450
60,100,10,450
70,100,10,450
80,100,10,450
90,100,10,450
0,100,10,500
10,100,10,500
20,100,10,500
30,100,10,500
40,100,10,500
50,100,10,500
60,100,10,500
70,100,10,500
80,100,10,500
90,100,10,500
0,100,10,550
10,100,10,550
20,100,10,550
30,100,10,550
40,100,10,550
50,100,10,550
60,100,10,550
70,100,10,550
80,100,10,550
90,100,10,550
0,100,10,600
10,100,10,600
20,100,10,600
30,100,10,600
40,100,10,600
50,100,10,600
60,100,10,600
70,100,10,600
80,100,10,600
90,100,10,600
0,100,10,650
10,100,10,650
20,100,10,650
30,100,10,650
40,100,10,650
50,100,10,650
60,100,10,650
70,100,10,650
80,100,10,650
90,100,10,650
0,100,10,700
10,100,10,700
20,100,10,700
30,100,10,700
40,100,10,700
50,100,10,700
60,100,10,700
70,100,10,700
80,100,10,700
90,100,10,700
0,100,10,750
10,100,10,750
20,100,10,750
30,100,10,750
40,100,10,750
50,100,10,750
60,100,10,750
70,100,10,750
80,100,10,750
90,100,10,750
0,100,10,800
10,100,10,800
20,100,10,800
30,100,10,800
40,100,10,800
50,100,10,800
60,100,10,800
70,100,10,800
80,100,10,800
90,100,10,800
0,100,10,850
10,100,10,850
20,100,10,850
30,100,10,850
40,100,10,850
50,100,10,850
60,100,10,850
70,100,10,850
80,100,10,850
90,100,10,850
0,100,10,900
10,100,10,900
20,100,10,900
30,100,10,900
40,100,10,900
50,100,10,900
60,100,10,900
70,100,10,900
80,100,10,900
90,100,10,900
0,100,10,950
10,100,10,950
20,100,10,950
30,100,10,950
40,100,10,950
50,100,10,950
60,100,10,950
70,100,10,950
80,100,10,950
90,100,10,950